Hmdx,Visibility (km),Wind Chill,air_temperature_c,barometric_pressure_kpa,bui,dc,dew_point_c,dmc,ffmc,fwi,isi,rain_mm,relative_humidity_pct,station,timestamp_utc,wind_direction_deg,wind_speed_kmh
,,-3.0,6.120833333333334,,63.25133214128198,52.86600000000001,-0.2166666666666667,104.79266070640989,80.1084672076512,275.5163166016603,2647.4108970446614,3.2,67.41666666666667,stanhope,2025-05-02,17.416666666666668,9.375
,,,12.017391304347825,,148.60523918651285,151.935,8.658333333333333,135.28619593256425,80.32187939493488,200.7072491322404,222.64280462739848,9.7,82.58333333333333,stanhope,2025-05-03,18.17391304347826,10.666666666666666
,,,8.8375,,40.51157484386333,27.618000000000002,8.237499999999999,92.08587421931665,77.62602517101108,138.5495689377796,224.97113448599782,12.5,96.125,stanhope,2025-05-04,21.2,5.791666666666667
,,,6.304166666666667,,85.53287649198,82.07249999999999,0.8624999999999999,99.3743824599,82.289440560207,123.64824080354798,119.03834692532082,0.0,68.83333333333333,stanhope,2025-05-05,19.75,9.458333333333334
,,,12.016666666666666,,172.06658905549668,183.3375,-0.3041666666666667,126.98294527748332,87.76565659572668,116.03343790083308,70.64150421151385,0.0,46.458333333333336,stanhope,2025-05-06,19.375,16.541666666666668
,,,14.354166666666666,,301.9372818631299,336.45599999999985,12.3375,163.86240931564996,79.90309823547234,240.1357029667736,232.5449541696297,3.5,87.875,stanhope,2025-05-07,18.5,16.125
,,,11.654166666666667,,427.1993400294953,481.13015642502086,9.4,211.4760744473932,67.11556830084051,8254.279868819172,18992086.221714154,6.2,87.20833333333333,stanhope,2025-05-08,22.875,16.166666666666668
,,,2.5958333333333337,,500.2789550143818,565.4736564250207,1.5250000000000001,219.0555038481016,76.23168683609664,341.8531105162879,458.0813230064428,0.0,92.58333333333333,stanhope,2025-05-09,1.9583333333333333,16.791666666666668
,,,7.504166666666666,,542.0925190967766,622.8803789332006,6.7749999999999995,240.24904431796347,65.21733131272387,5963.0027233102655,12547047.902992314,9.9,95.08333333333333,stanhope,2025-05-10,10.708333333333334,11.541666666666666
,,,6.558333333333334,,625.1024324169233,706.9661732463327,3.8166666666666664,275.70654012541513,77.92117519828506,360.636815246356,633.8142519555115,1.8,83.25,stanhope,2025-05-11,31.0,20.916666666666668
,,,7.529166666666666,,688.474064860998,794.8721732463326,-0.16666666666666666,291.0379782378318,84.55254489156484,154.8116130505417,108.01068918095581,0.0,58.666666666666664,stanhope,2025-05-12,29.958333333333332,14.083333333333334
,,,5.3999999999999995,,755.3838979246644,889.6646732463323,-0.2166666666666666,310.55156130149834,83.57937561239123,164.1836105769238,119.33927187081815,0.0,67.625,stanhope,2025-05-13,20.041666666666668,13.208333333333334
,,,12.737499999999999,,827.7801561654145,985.4231732463321,2.2624999999999997,335.06856954224844,87.03453713027947,130.60698088204134,73.55942419474472,0.0,51.375,stanhope,2025-05-14,20.375,17.125
27.571428571428573,,,19.252173913043478,,971.2325814533642,1153.523673246332,8.295833333333333,394.47074483019827,89.24518152808156,114.96644369220701,59.84332640920371,0.0,51.30434782608695,stanhope,2025-05-15,23.73913043478261,16.833333333333332
,,,9.375,,38.21205118186333,24.351,5.133333333333334,93.65625590931666,84.60169327492682,92.68186271665361,114.21857759756267,0.0,75.25,stanhope,2025-05-16,9.818181818181818,13.125
,,,11.529166666666667,,96.24767687179667,92.358,2.316666666666667,111.80638435898334,86.29417640544654,93.3695145123274,64.22022940173981,0.0,54.083333333333336,stanhope,2025-05-17,13.083333333333334,12.208333333333334
,,,9.4375,,205.81692742718,222.5955,7.425,138.70263713590006,79.3978563490698,259.09628064658756,280.74106434858425,1.4,87.45833333333333,stanhope,2025-05-18,13.541666666666666,17.708333333333332
,,,8.343478260869565,,266.48331575211336,297.5775,7.326086956521739,142.10657876056675,74.78717045899953,303.76770398511064,361.6332406167535,0.4,93.30434782608695,stanhope,2025-05-19,8.545454545454545,9.26086956521739
,,,5.516666666666667,,53.420849461813326,43.37925,3.875,93.58724730906664,79.11079371468193,213.2452225245964,412.4140458555632,1.3,89.08333333333333,stanhope,2025-05-20,3.9166666666666665,24.166666666666668
,,,5.625,,107.29914922579668,109.60500000000002,3.4625,98.07574612898328,79.23411639628134,238.69515401811555,325.21574736828205,0.0,86.04166666666667,stanhope,2025-05-21,3.2083333333333335,20.291666666666668
,,,6.483333333333333,,176.32887516809672,194.18700000000004,4.0375000000000005,104.89637584048329,79.2939280043707,233.50017524745897,235.14753901258607,0.0,84.5,stanhope,2025-05-22,6.708333333333333,14.75
,,,5.841666666666666,,236.48973520485265,250.00908872741957,4.1000000000000005,182.41232111458496,66.76928116638824,12855.849172251277,49890624.08951623,29.5,88.75,stanhope,2025-05-23,11.833333333333334,19.833333333333332
,,,8.375,,303.7381532943114,312.43802155728997,6.220833333333334,268.9386802423972,78.20845057405448,235.72447844763704,230.12167365930864,2.4,86.91666666666667,stanhope,2025-05-24,14.409090909090908,8.875
