station,timestamp_utc,air_temperature_c,relative_humidity_pct,dew_point_c,rain_mm,wind_direction_deg,solar_radiation_w_m2,battery_v,wind_speed_kmh,wind_gust_speed_kmh
cavendish,2024-04-04 21:00:00+00:00,1.021,95.33666666666666,0.35633333333333334,1.2000000000000002,93.0,8.833333333333334,4.297916666666667,15.466666666666667,27.2
cavendish,2024-04-04 22:00:00+00:00,0.9,96.67,0.42866666666666664,1.0,95.0,1.9,4.271249999999999,17.466666666666665,29.733333333333334
cavendish,2024-04-04 23:00:00+00:00,1.3536666666666666,97.0,0.9283333333333333,0.2,91.0,1.0,4.2404166666666665,17.666666666666668,30.5
cavendish,2024-04-05 00:00:00+00:00,1.5603333333333333,96.83999999999999,1.1106666666666667,0.2,84.0,1.0,4.228166666666667,19.066666666666666,32.766666666666666
cavendish,2024-04-05 01:00:00+00:00,1.8773333333333333,96.45666666666666,1.3713333333333333,0.2,86.0,1.0,4.218083333333333,21.066666666666666,35.1
cavendish,2024-04-05 02:00:00+00:00,2.0113333333333334,96.38000000000001,1.4973333333333334,0.2,87.0,1.0,4.2115833333333335,21.533333333333335,37.06666666666667
cavendish,2024-04-05 03:00:00+00:00,2.009333333333333,96.65666666666667,1.5323333333333333,0.2,91.0,1.0,4.2065,20.233333333333334,36.833333333333336
cavendish,2024-04-05 04:00:00+00:00,1.7383333333333333,97.53666666666666,1.3883333333333332,1.0,91.0,1.0,4.20225,20.8,36.46666666666667
cavendish,2024-04-05 05:00:00+00:00,1.6520000000000001,97.83999999999999,1.3443333333333334,0.2,83.0,1.0,4.198083333333333,21.833333333333332,37.43333333333333
cavendish,2024-04-05 06:00:00+00:00,1.669,97.53,1.3173333333333332,0.2,87.0,1.0,4.1955,22.533333333333335,38.7
cavendish,2024-04-05 07:00:00+00:00,1.1166666666666667,97.49,0.7613333333333333,0.2,93.0,1.0,4.193083333333333,22.2,39.233333333333334
cavendish,2024-04-05 08:00:00+00:00,0.6393333333333333,98.03999999999999,0.36433333333333334,0.4,90.0,1.0,4.191083333333333,21.066666666666666,36.233333333333334
cavendish,2024-04-05 09:00:00+00:00,0.5640000000000001,98.40666666666667,0.338,0.2,88.0,1.0333333333333334,4.188666666666666,22.5,39.7
cavendish,2024-04-05 10:00:00+00:00,0.6306666666666667,98.51666666666667,0.4216666666666667,0.2,86.0,12.833333333333334,4.237666666666667,21.433333333333334,35.8
cavendish,2024-04-05 11:00:00+00:00,0.705,98.51333333333334,0.4956666666666667,0.2,97.0,39.43333333333333,4.306583333333333,19.333333333333332,33.9
cavendish,2024-04-05 12:00:00+00:00,0.6426666666666667,98.53999999999999,0.437,0.4,97.0,70.03333333333333,4.316833333333333,18.3,32.0
cavendish,2024-04-05 13:00:00+00:00,0.8043333333333333,98.52333333333333,0.5950000000000001,0.2,102.0,87.56666666666666,4.316333333333334,16.666666666666668,29.633333333333333
cavendish,2024-04-05 14:00:00+00:00,1.57,98.57666666666665,1.3666666666666667,0.2,100.0,123.1,4.312666666666667,14.0,24.666666666666668
cavendish,2024-04-05 15:00:00+00:00,1.7349999999999999,98.61333333333333,1.5393333333333332,0.0,93.0,101.3,4.316583333333333,12.766666666666667,22.433333333333334
cavendish,2024-04-05 16:00:00+00:00,2.9443333333333332,98.35666666666665,2.711,0.0,93.0,170.6,4.3155833333333335,12.7,22.3
cavendish,2024-04-05 17:00:00+00:00,4.264666666666667,96.96333333333334,3.8276666666666666,0.0,112.0,209.63333333333333,4.309166666666667,14.066666666666666,24.033333333333335
cavendish,2024-04-05 18:00:00+00:00,4.732666666666666,95.99333333333334,4.150666666666667,0.0,133.0,164.7,4.31325,14.633333333333333,23.733333333333334
cavendish,2024-04-05 19:00:00+00:00,5.214333333333333,95.95,4.625,0.0,128.0,130.46666666666667,4.31225,12.8,21.3
cavendish,2024-04-05 20:00:00+00:00,5.615333333333334,94.11,4.747333333333333,0.0,140.0,105.73333333333333,4.308916666666667,10.433333333333334,16.4
