station,timestamp_utc,check_type,variable,original_value,action,rule
stanhope,2023-04-20T02:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-20T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-20T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-20T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-22T00:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-22T01:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-22T02:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-22T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-22T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-23T23:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T00:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T01:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T02:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T08:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T09:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-24T10:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-26T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-26T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-26T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-27T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-27T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-27T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-04-28T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-03T05:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-03T06:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-03T07:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-04T01:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-04T02:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-04T03:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
stanhope,2023-05-04T04:00:00+00:00,flatline,relative_humidity_pct,100.0,flag_only,FL_relative_humidity_pct
